killed_by,kill_distance,killer_placement,killer_name,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,extra
M416,#15,1,Ftbox_NkEr,481829.3125,557359.625,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,RedBurgundy,#15,480946.46875,558931.5,04:06 01|||RedBurgundy|||(#15)|||M416 (18m)|||victim|||480946.46875|||558931.5|||RedBurgundy|||killer|||481829.3125|||557359.625|||me
SLR,#15,1,Ftbox_NkEr,481744.46875,557378.6875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,HB-XY-AWM,#15,472918,553900.875,04:55 02|||HB-XY-AWM|||(#15)|||SLR (95m)|||victim|||472918|||553900.875|||HB-XY-AWM|||killer|||481744.46875|||557378.6875|||me
SLR,#5,1,Ftbox_NkEr,668449.375,375065.75,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,Back-Trust,#5,682926.9375,368359.75,21:26 03|||Back-Trust|||(#5)|||SLR (160m)|||victim|||682926.9375|||368359.75|||Back-Trust|||killer|||668449.375|||375065.75|||me
SLR,#5,1,Ftbox_NkEr,670771.3125,376408.71875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,hyccc999,#5,680880.9375,377317.1875,21:46 04|||hyccc999|||(#5)|||SLR (102m)|||victim|||680880.9375|||377317.1875|||hyccc999|||killer|||670771.3125|||376408.71875|||me
SLR,#3,1,Ftbox_NkEr,675382.75,333975.625,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,Tipsk1e,#3,683183.6875,348359.6875,26:17 05|||Tipsk1e|||(#3)|||SLR (164m)|||victim|||683183.6875|||348359.6875|||Tipsk1e|||killer|||675382.75|||333975.625|||me
SLR,#2,1,Ftbox_NkEr,671982.8125,350814.96875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pWgfK399q8lp94Sw13q-Uy3c6CFrvyIMgDMyjcvhr2zlgvbo_nhAlkePm6xmDwI_lXSHvk49e0PSbSVm7Xe2qcu6fDA-XT9J8W-peKBX0eB1yyTZDaNrGjg=,2023-02-28 05:28:04,keledv,#2,672039.375,355802.15625,27:55 06|||keledv|||(#2)|||SLR (50m)|||victim|||672039.375|||355802.15625|||keledv|||killer|||671982.8125|||350814.96875|||me
M416,#15,7,Ftbox_NkEr,363336.1875,413670.1875,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pX4DNPKPn6lTc1KyKMEn7swZb6bwwxporIyfborCgIAli6FCe_xEocihYY6W5XhvVGGNnuHLjy2AcN0pzF67lP9TaZGVuzbEHVWQhS2vpeQRd0T3KNhopRI=,2023-02-28 05:05:28,missIfuyou,#15,360655.96875,414210.53125,03:45 01|||missIfuyou|||(#15)|||M416 (27m)|||victim|||360655.96875|||414210.53125|||missIfuyou|||killer|||363336.1875|||413670.1875|||me
death.WeapMk12_C,#11,7,Ftbox_NkEr,356064.3125,631627,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pX4DNPKPn6lTc1KyKMEn7swZb6bwwxporIyfborCgIAli6FCe_xEocihYY6W5XhvVGGNnuHLjy2AcN0pzF67lP9TaZGVuzbEHVWQhS2vpeQRd0T3KNhopRI=,2023-02-28 05:05:28,Aq99-jjyy,#11,351926.3125,617924.9375,16:07 02|||Aq99-jjyy|||(#11)|||death.WeapMk12_C (143m)|||victim|||351926.3125|||617924.9375|||Aq99-jjyy|||killer|||356064.3125|||631627|||me
M762,#11,7,Ftbox_NkEr,361378.25,622431.5,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pX4DNPKPn6lTc1KyKMEn7swZb6bwwxporIyfborCgIAli6FCe_xEocihYY6W5XhvVGGNnuHLjy2AcN0pzF67lP9TaZGVuzbEHVWQhS2vpeQRd0T3KNhopRI=,2023-02-28 05:05:28,ghtuz19377,#11,361154.15625,620556.5,16:31 03|||ghtuz19377|||(#11)|||M762 (19m)|||victim|||361154.15625|||620556.5|||ghtuz19377|||killer|||361378.25|||622431.5|||me
death.WeapMk12_C,#6,7,Ftbox_NkEr,360432.375,619736.75,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pX4DNPKPn6lTc1KyKMEn7swZb6bwwxporIyfborCgIAli6FCe_xEocihYY6W5XhvVGGNnuHLjy2AcN0pzF67lP9TaZGVuzbEHVWQhS2vpeQRd0T3KNhopRI=,2023-02-28 05:05:28,HSQJUN,#6,386178.71875,600674.3125,17:04 04|||HSQJUN|||(#6)|||death.WeapMk12_C (320m)|||victim|||386178.71875|||600674.3125|||HSQJUN|||killer|||360432.375|||619736.75|||me
