type,type2,time,player_survive_time,team_placement,game_size,player_kills,player_dmg,player_distance_travelled,player_team_list,match_id,player_dist_ride,player_dist_walk,player_dbno,player_assists,player_name
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 05:01:50,1766,1,16,5,808,2.70km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pelgI_ExsbVxMuEZ7DI18kb0tQ8hFuokLqsKtoMXvw3pFnluHzOmMM-hPMaxR2nODKYmmvHwSsNuEXvjoO92eVgmOZVpHOdsOfFBdcvohhjlJh8OYTPR-LA=,1.29,1.42,6,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 04:05:44,1564,1,17,8,849,4.81km,Ftbox_NkEr|||Ftbox_Magisk|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pU-X_nOHzPnDpkmdBo4O1VMnF-l3FZm-wuVkeZfcqm2jurz0Xyk4VTQRfahByoeu-FxVwHfY4zX-XHm5oKYk-ZAbo0pX-W3TZuo6xKsaDlMwXRbK0i01J2E=,3.14,1.67,5,3,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 03:35:41,1270,3,17,1,418,12.08km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pTUkMoNuDbIcOvK0w0XFx6t9CyveTjQbM6v6UNkxC1l2PF0-LLC2NOEKwI3EIESZmcNrzxB2XY1mPlapimwnyxNtv2H58qFwAnDJKEa6z3E2N5uQnmb60fk=,11.21,0.87,3,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 03:04:36,1643,1,15,9,980,7.08km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pc31kFkLNbrw6ZQk9SttXfqQzvnMx9zIjL2L5LbkZaZfBmjw7h9yphwA4G5cDjZ80YIW4ABF9iFsBv7hgmK__3EA8v5VFJsiQgvBCyD6vqWK9Y-cVMmpkGI=,5.64,1.43,7,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 02:31:48,348,1,16,2,355,1.22km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pcxbppKKn0Du81jRcArBQn0XY79KJFhoW53rZHPuAWM2HKKGGrC4jkaim2qWkNgUZBZ3hqs_J8mK4N0EBYv3UM0VHHVWX5q9I6y7nZqOZI2_qpXUsx4DPfY=,0.81,0.41,4,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 02:23:59,319,14,15,2,259,0.26km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9paCUahUKDXx8JE4i98KmYCe9yfqh7w3qoNAzYImPkymm-yAekj5hNRT4Vsh9hZuIOLdFqFhuQeY2uSV54MA8b-Q1EI-AUs4oxrtMIlDQ50zZm1lu-udrEAQ=,0.00,0.26,2,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 02:14:27,82,13,16,0,54,0.00km,Ftbox_NkEr|||Ftbox_Magisk|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pXNnX9o8OtigvfLcTyCGSMOLBNGQJoUsoXqQr7e1LAXso93dFcQH6TRV05IPRbiuI-Od_46GLkGNZJWTYaMK_Rmlgjt0CcCBINO6hIdvGkGA8XD7xh1wVFw=,0.00,0.00,0,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 01:52:06,1209,1,18,6,770,6.37km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pXzamnhjz4IkdXbalpkXIlCBS5h3uJldrzdsbZO6z4lWecPwTtag5U_fAjWcFs3LB7cbL3f4KkvEDTzQoWvOlCpnuafc30z2luc4WLiM7Yycd4y-Isr8-tU=,4.86,1.50,5,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 01:24:55,1430,1,9,2,470,6.03km,Ftbox_NkEr|||Ftbox_Magisk|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pZv378sfBf89rvbIlXxByfFlUBeFtr728teC6YyPi1XLKSbIjh5AlhJj-nNcEVxJvb4AvDJYz8aqr9aCBg-Qn0eebCkLsCeElL_o8Zdm9a5BCLDk6ivy6oo=,4.80,1.23,2,1,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-23 00:49:55,1665,1,16,10,"1,397",7.89km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pXfmr_AbXmUweCWWHhNHzCO6QxU8OgU7AEA337knAVttVsf-tC9FYtIIgA7Q_fJFRCC11OcIMADriUQ6BJyr1zdSYxTxlfOPefNDWSBJpslLaCHdYSAanKE=,5.84,2.05,11,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 06:34:26,807,1,16,3,399,3.85km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pcC2PxdsvWkKtFT2p0jo7j-AEXjSTI2nF4Eoh2vYcve7g1yO4GvpXZQX_A-1_Yj2fgDO0JHz3h21wz_fFxRtXbam00K4NsWxpKbxafCjZR1vgqyXqf8-0cw=,2.74,1.12,2,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 06:02:15,1576,1,16,5,494,9.69km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9peaIHrxfc6YBtIFUB6_Ts97FbiwGqrxuIcSuKWEep_lIxGwVucitMdpIVRiIMBAn5ScJOIwyD1kWabTESf14AFel9YJ83ZPXBD5m6LQOI7V7gS0UbRHoO9M=,6.89,2.80,3,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 05:35:08,1489,1,18,3,583,6.14km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pYUszYbHLhRNAlxY0IJWVv42zbCg2T8l9vLig1C6lM2rVRzLsEEjCgglciRyh2OS_LrcKDcf8oatT1W_xd67KfA3Kg3zOqE4EOL7Ip9L6aLxUtjsybkD9Xg=,4.32,1.82,4,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 05:07:45,1316,1,17,2,222,5.70km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pU62miHsk6Zw8R1ESkrHsfK7dEg-_ihcqwSf3z7vRQxlOiLO0qASdC2lzTp0gM04bCtZKyJgQ6GD4RNmP6AeGO0plk-T0vRBvW7JEIgOuNGtda5V5gsDx2U=,4.15,1.55,3,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 04:42:55,1347,1,16,9,806,6.21km,Ftbox_NkEr|||Ftbox_Xzz|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pVYxWF9CSoSP7z1-epyjopXZKiffiZHd0_C_SYLVzZzkQhXjWFZ8vSAlPKNeijGv1EsZwG-EK4D1SXlydT1DoOQldr2ny9El0ADIn_W6UKa13xlEaSthS1o=,4.58,1.62,6,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 03:39:50,1463,3,17,7,615,4.93km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pS09I2wHi89WU79tOCHYzOWafu4Eu-Kp0-m5rhODV5KK1sCckm53683-m0SdhIPNBxIgfiGDtl9-wP3DZ1u2L-fYXCrtn_ToE86YBle_N5yvz_GD4i8Xlx8=,3.05,1.88,4,1,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 03:14:46,1331,1,18,6,553,6.84km,Ftbox_NkEr|||Ftbox_Xzz|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pa2UkqGganPV3K9H6Lw3XIOXfXj2-QEwCsPWHJBurzgtgucjQDu_MBNJ-0WNnjJkuEu3QB5DXdFfpYfGizLMSr7XCjhQ-xNRZo5rtDR1mlmi3VHEQANQ5kc=,4.70,2.14,6,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 02:40:23,1796,3,18,2,332,7.26km,Ftbox_NkEr|||Ftbox_Xzz|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pcjrGx1E4E_k2GOuM2UZ9BY1HRaH4Ig84EJB3MmLW6xx5U6D_GCjxe4RXrgJAeYGWk47s1By6k10Pit1x3D3yJgrSUtARzMxQJUWYPTrf7wtItXR06Qjw2I=,5.07,2.20,1,1,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 02:02:43,1800,1,17,9,848,5.88km,Ftbox_NkEr|||Ftbox_Xzz|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9peaCjRQspzEBOcJfTPOZvQxbsY8cWtT-tR1T8QizyJ1Vw_xlD86dke1szulraWSCBIA8g42IOl-N00KDUmi9TEJfIHRa_uTMXm2iHt-62rgivErLMVTeohY=,4.08,1.80,9,3,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 01:52:26,382,13,16,1,189,0.84km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pc_jg3sYBTLLnn4nChPMX9XISQJY4Mq3LDi7uSf1efkfLDmDR4nY_cL8cSNNP2aHIC01brzwExY8L1Whcr4jTud9YJD1wQm2IjLHousUeaszRMPD7bPJC7Y=,0.31,0.53,2,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 01:23:14,1311,4,15,5,710,7.32km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pTX_qH81WEdCB7VHZMa4GFjdJkdHLXi9l9XksL0aUuJR0RqwvVR3p_KrjfLgpPWFkgnaPWuPrp55AcIO014us56jtR1XStNCH0dgf_qEeeI4EYxJWwtehmI=,5.49,1.82,6,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 00:53:21,1252,3,18,1,287,9.10km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pZ-bx6H4GquMtg2I2DV0Dj_2C4Wv2bef7-PLftryR9uuGcHIA8U0n_RDpkVzuDoz4mN8cTKvXs-_AFaoUs5xq0F7F1UuXuUgERNcA1h7T49RRoR_Og1akvM=,7.61,1.49,1,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-22 00:20:18,1254,1,17,2,755,3.84km,Ftbox_Xzz|||Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pYj54I69eWTUn2oX9RHGObPdM2x7XGxM-QCasGEKuT3DL-5u_ubhqpPAwtdnNliEMydwLirjIkXCYdMnCcoiIwubtS-2rZaSMOkuzDxT_1V83EX-wplAWs4=,2.68,1.15,5,1,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-21 02:52:43,350,15,17,0,0,0.51km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_HuangGg|||Ftbox_Magisk,JwQTpc85CVDzAo7j_aZ9pUx8M6EYrhOsdmmys6dDOhiBukE0rGSMq5MuMV46Y8L1qF_oDiarNyGAoOYRPt2BTiY-wJ2BX4kaw06eeWPNMCg0ULDDPhAShQ7VNw8Aq_j9aURKiHcEcOc=,0.22,0.29,0,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-21 02:23:45,1606,1,19,2,131,4.78km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_HuangGg|||Ftbox_Magisk,JwQTpc85CVDzAo7j_aZ9pSUiCtGR9bLa95pPeCJlUBbM6Tsl-qF3EdYiiYHXqbBmR0MdJQi5DWQEBYRwGLvVSXIyryVJQR8w5gmFeaXXGyORvtb3adySWqBvOopVDUNshdRQsbIhhbQ=,2.36,2.42,2,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-21 01:48:59,1891,1,18,9,"1,003",6.41km,Ftbox_NkEr|||Ftbox_HuangGg|||Ftbox_Magisk|||Ftbox_ShiSan,JwQTpc85CVDzAo7j_aZ9pSUV93pT75U15r2kmGjQ2SK6g8bR7pGS90D0CzR_5iM3QTpyDGwkpac-i68cBs8AlHYhaANLS86nUEc-hqXK9YoliWFNUxH7h7DsXzFF2uzYltQ7YpIzuCY=,4.08,2.33,5,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-21 01:19:09,1641,3,17,3,586,6.22km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_HuangGg|||Ftbox_Magisk,JwQTpc85CVDzAo7j_aZ9pVY8RKvAV5DHeWdkAAsmg0eV6bmW0PAY9cHFH_yzE-w-sQamUhDiCo-vcCnTw9x7NGpUpGqIQG-M9HS730NqAWkbmJkZQDjmmgolzkFC1n_W74hn6Kd4qlE=,4.20,2.02,1,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-21 00:46:25,1848,2,16,4,509,5.18km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk,JwQTpc85CVDzAo7j_aZ9pcYeLrOrAkLeI5SMoBZja7XwZDcLSKMS8xzvvBufuu1xcFiYGsN4TBLTS6xR2kmms912xOQ-Mkp2TyV_2VcpxPVGkp_JtlDQ2yEJhgBzbb0xnaL3F0xaofU=,3.35,1.83,4,5,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 03:08:09,1333,1,19,8,646,8.86km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pSjDAAK-hngwUz8IayWg43-ZLtFsTwLRp-s75FDpsJBhCfQ1KmF9u-mjcQrr9mJDHl_4gF_tPo1WHbzklUl4t-pi9A3bARnSUmWhdleiQyI_Gse8rS55QDk=,7.48,1.38,4,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 02:33:54,94,2,16,0,122,0.01km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9peaLfZyS_PEeRbskxzKECqh16Vh_f69ggTgJxa4-BOfXYzM6jpaWdDUD4GT6H6BmFBjeNaKQuyki8Y2LfxooN602t-Blv85U9KwQxMqy6yqiyD47Go9FQ7A=,0.00,0.01,1,1,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 02:09:14,1365,8,16,3,726,7.68km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pbNIJily2pkkL1pnAmyxwIPycI2cyJ5TcWBvNgxd2AtoHMBcjHbhqV7F3yVAzUk6bSXZK2bF6yXmpJTDGDQf7LNiA4nW5aLBXafT0nOndjUdyNewEOY7iHk=,6.15,1.53,4,2,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 02:00:52,161,13,18,0,84,0.08km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pbhaQWaIS4qmDDAXFkczYDtJXlqZVuBxiTQNZ6zF7VcGA1ZSsAMNhYDyMHV4e4xeLfPlJa9JrrU07hgdCa3yh9ZxloG-1VCmc4RFkcC3aTh7F9RuJlf7rws=,0.00,0.08,0,0,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 01:36:11,1366,1,18,5,788,6.14km,Ftbox_NkEr|||Ftbox_ShiSan|||Ftbox_Magisk|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pSkVhp6EWIF2g9cKZ0uLSIXitxs761dhyb5fAiFTEZUZ4yKWfajZTacW5R3Mcm7U4sun6lBHtP59Wl6xdHhgdyNYekhqCSUVKvt0YPkaZecOr76oIoHw2vs=,4.95,1.20,4,4,Ftbox_NkEr
Ranked,sp__mode sp__mode--competitive-4-tpp,2023-02-20 01:22:59,193,9,17,0,184,0.10km,Ftbox_NkEr|||Ftbox_Magisk|||Ftbox_ShiSan|||Ftbox_Xx1ng,JwQTpc85CVDzAo7j_aZ9pY8ZSSUkFJD1luF5LSSM4IxiNFBv8Pt3lwuHF6vUMIq5_TYK5NgME5d2Yx-AL-7JlGLnrrKmp7WrvQqqglNcrAZbGvbWqOMwcPl7_mQ5_o8PD6iH7jDqyjs=,0.00,0.10,1,0,Ftbox_NkEr
